group_rank,group_id,group_name,market_lane,lifecycle_stage,market_fit_grade,theme_id,theme_evidence_grade,relative_strength_pct,relative_strength_grade,breadth_grade,turnover_concentration_grade,core_role_hit_grade,contra_evidence_penalty,market_board_amount_raw,market_board_count_raw,clx_stock_count,shortlist_count,core_hit_count,clx_group_amount_yi,clx_group_avg_return_pct,representative_symbols,fit_reason,contra_evidence,sort_key,evidence_ids
1,软件/数字内容/计算机应用,软件/数字内容/计算机应用,current-mainline-continuation,acceleration,highest,TH-SOFTWARE,highest,,strong,strong,strong,good,0,,,29,1,1,219.101885,9.096976337263985,300418 昆仑万维;301218 华是科技;688227 品高股份;688258 卓易信息;688479 友车科技,映射冻结主题 TH-SOFTWARE | CLX组内29只，shortlist 1只，冻结核心命中1只,,0|0|0|0|0|1|0|0|软件/数字内容/计算机应用,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
2,传媒娱乐,传媒娱乐,current-mainline-continuation,acceleration,highest,TH-SOFTWARE,highest,,strong,strong,neutral,unknown,0,,,2,0,0,10.977615,4.099067649401633,000504 南华生物;300251 光线传媒,映射冻结主题 TH-SOFTWARE | CLX组内2只，shortlist 0只，冻结核心命中0只,,0|0|0|0|2|5|0|0|传媒娱乐,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
3,先进光伏电池修复,先进光伏电池修复,secondary-line,repair,medium,TH-PV,medium,,unknown,unknown,strong,good,0,,,7,1,1,82.406924,5.583744799067526,300757 罗博特科;300566 激智科技;688783 西安奕材;301517 陕西华达;301202 朗威股份,映射冻结主题 TH-PV | CLX组内7只，shortlist 1只，冻结核心命中1只,,2|2|5|5|0|1|2|0|先进光伏电池修复,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
4,自动化/机器人修复,自动化/机器人修复,secondary-line,repair,medium,TH-AUTO,medium,,unknown,unknown,strong,good,0,,,24,1,1,97.986988,6.079104055236029,688017 绿的谐波;605186 健麾信息;301696 三瑞智能;300992 泰福泵业;001400 江顺科技,映射冻结主题 TH-AUTO | CLX组内24只，shortlist 1只，冻结核心命中1只,,2|2|5|5|0|1|2|0|自动化/机器人修复,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
5,光伏,光伏,secondary-line,repair,medium,TH-PV,medium,,unknown,unknown,good,unknown,0,,,3,0,0,37.347232,4.495951241919631,002851 麦格米特;601778 晶科科技;605011 杭州热电,映射冻结主题 TH-PV | CLX组内3只，shortlist 0只，冻结核心命中0只,,2|2|5|5|1|5|2|0|光伏,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
6,光伏概念,光伏概念,secondary-line,repair,medium,TH-PV,medium,,unknown,unknown,watch,unknown,0,,,1,0,0,1.536648,0.6521739130434856,601619 嘉泽新能,映射冻结主题 TH-PV | CLX组内1只，shortlist 0只，冻结核心命中0只,,2|2|5|5|3|5|2|0|光伏概念,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
7,半导体设备,半导体设备,unclassified,not_located,low,,unknown,,unknown,unknown,strong,unknown,2,,,2,0,0,97.444863,6.846108147784413,300604 长川科技;300812 易天股份,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|0|5|4|2|半导体设备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
8,数字芯片设计,数字芯片设计,unclassified,not_located,low,,unknown,,unknown,unknown,strong,unknown,2,,,4,0,0,201.836319,6.699584796948077,688256 寒武纪;688332 中科蓝讯;688259 创耀科技;688385 复旦微电,已有业务行业但未映射冻结主题 | CLX组内4只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|0|5|4|2|数字芯片设计,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
9,有色金属,有色金属,unclassified,not_located,low,,unknown,,unknown,unknown,strong,unknown,2,,,8,0,0,103.707391,3.978485365441156,002203 海亮股份;600362 江西铜业;600497 驰宏锌锗;600673 东阳光;000426 兴业银锡,已有业务行业但未映射冻结主题 | CLX组内8只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|0|5|4|2|有色金属,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
10,消费电子零部件及组装,消费电子零部件及组装,unclassified,not_located,low,,unknown,,unknown,unknown,strong,unknown,2,,,3,0,0,88.934694,9.658195127555821,300857 协创数据;603629 利通电子;300916 朗特智能,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|0|5|4|2|消费电子零部件及组装,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
