metric,value,detail
stock_buy_total,454,CLX Stock buy count
business_primary_group_covered,454,454/454
remaining_unmapped_after_cascade,0,business source exhausted
market_theme_id_mapped,66,mapped to Phase A frozen themes
generic_tag_only,0,only generic/noise tag evidence
cninfo_interface_errors_cached,44,new-share field changes; THS fallback used where possible
source_rank_count,182,cninfo_industry
source_rank_count,14,frozen_theme
source_rank_count,47,sina_concept
source_rank_count,167,sina_industry
source_rank_count,44,ths_business_keyword
mapping_status_count,14,resolved
mapping_status_count,440,resolved_theme_unmatched
market_theme_count,24,TH-AUTO
market_theme_count,11,TH-PV
market_theme_count,31,TH-SOFTWARE
