symbol,name,primary_group,secondary_groups,industry_source,concept_source,mapping_confidence,mapping_reason,excluded_noise_tags,evidence_ids,business_group_raw,market_theme_id,market_lane,business_industry_fallback,mapping_source_rank,mapping_source_detail,mapping_asof,mapping_attempts,mapping_status
300418,昆仑万维,软件/数字内容/计算机应用,,电子信息,Sina concept constituents 2026-07-31 snapshot,high,frozen_theme_id:TH-SOFTWARE,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,TH-SOFTWARE,current-mainline-continuation,,frozen_theme,frozen_theme_id:TH-SOFTWARE,2026-07-31,existing_snapshot,resolved
688017,绿的谐波,自动化/机器人修复,,,Sina concept constituents 2026-07-31 snapshot,high,frozen_theme_id:TH-AUTO,专精特新,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,TH-AUTO,secondary-line,,frozen_theme,frozen_theme_id:TH-AUTO,2026-07-31,existing_snapshot,resolved
300757,罗博特科,先进光伏电池修复,BC电池;HIT电池;TOPCon;光伏;光伏概念,,Sina concept constituents 2026-07-31 snapshot,high,frozen_theme_id:TH-PV,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,TH-PV,secondary-line,,frozen_theme,frozen_theme_id:TH-PV,2026-07-31,existing_snapshot,resolved
002203,海亮股份,有色金属,参股金融;钒电池;海水淡化;空气治理;涉矿概念;特斯拉,有色金属,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,业绩预升,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
603223,恒通股份,公路货运,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,公路货运,,unclassified,公路货运,cninfo_industry,申银万国行业分类标准|2021-07-30,2021-07-30,cninfo:ok,resolved_theme_unmatched
000048,京基智农,农林牧渔,鸡肉;深圳本地;土地流转;猪肉,农林牧渔,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,业绩预升,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
000848,承德露露,食品行业,京津冀,食品行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,社保重仓,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
000977,浪潮信息,电子信息,国产软件;国防军工;军工航天,电子信息,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
001359,平安电工,化工材料,,,Sina concept constituents 2026-07-31 snapshot,medium,ths_business_keyword_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,化工材料,,unclassified,化工材料,ths_business_keyword,电热系统用云母耐温绝缘材料、新能源热失控安全防护件和特种石英纤维及电子布的研发、生产和销售。,2026-07-31,cninfo:error;ths_zyjs:ok,resolved_theme_unmatched
002266,浙富控股,电器行业,股权激励;核电核能,电器行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
