model_code,trigger,selection_status,holdout_status,horizon_sessions,rule_names,rule_labels,train_sample_count,train_win_rate,validation_base_count,validation_base_win_rate,validation_filtered_count,validation_filtered_win_rate,validation_win_rate_delta,validation_filtered_mean_return,holdout_base_count,holdout_base_win_rate,holdout_filtered_count,holdout_filtered_win_rate,holdout_win_rate_delta,holdout_filtered_mean_return,holdout_filtered_ci_low,holdout_filtered_ci_high
S0000,ENGULFING,FILTER_SELECTED,CONFIRMED,30.0,stock60_neg+drawdown20_ge_15pct,个股近60日收益≤0；距近20日高点回撤≥15%,2446.0,0.612837,10423.0,0.515303,1290.0,0.687597,0.172294,0.103402,6562.0,0.504419,978.0,0.649284,0.144865,0.094683,0.618846,0.678554
S0000,STRONG_FRACTAL,FILTER_SELECTED,CONFIRMED,60.0,price_1_6+stock20_neg,入场原始价1～6元；个股近20日收益≤0,6097.0,0.583566,33962.0,0.451357,3475.0,0.568633,0.117276,0.051779,23306.0,0.587488,2324.0,0.662651,0.075163,0.129426,0.643174,0.681591
S0001,ENGULFING,FILTER_SELECTED,CONFIRMED,30.0,same_code_models_ge_4+price_1_6,同股同日模型共识≥4；入场原始价1～6元,159.0,0.559748,748.0,0.520053,148.0,0.581081,0.061028,0.032295,525.0,0.430476,81.0,0.518519,0.088043,0.050809,0.411356,0.624004
S0001,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,30.0,price_3_10+drawdown20_ge_10pct,入场原始价3～10元；距近20日高点回撤≥10%,463.0,0.600432,2850.0,0.458596,233.0,0.570815,0.112219,0.050545,2106.0,0.483856,154.0,0.448052,-0.035804,0.008544,0.371726,0.526907
S0002,ENGULFING,FILTER_SELECTED,CONFIRMED,90.0,price_1_6+vol20_2_6pct,入场原始价1～6元；20日波动率2%～6%,2681.0,0.600895,10410.0,0.435447,1138.0,0.553603,0.118156,0.090558,7117.0,0.550794,824.0,0.581311,0.030517,0.123909,0.547325,0.614542
S0002,STRONG_FRACTAL,FILTER_SELECTED,CONFIRMED,60.0,price_1_6+market_below_ma200,入场原始价1～6元；上证位于MA200下方,2227.0,0.564885,11178.0,0.436393,914.0,0.513129,0.076736,0.04005,7565.0,0.516854,312.0,0.711538,0.194684,0.25579,0.658935,0.758996
S0003,ENGULFING,FILTER_SELECTED,CONFIRMED,30.0,same_code_models_ge_3+below_ma60,同股同日模型共识≥3；个股位于MA60下方,65.0,0.569231,166.0,0.403614,66.0,0.484848,0.081234,0.009143,99.0,0.555556,38.0,0.578947,0.023391,0.039162,0.421923,0.721475
S0003,STRONG_FRACTAL,FILTER_SELECTED,INSUFFICIENT_HOLDOUT,60.0,market20_pos+market_below_ma200,上证近20日收益>0；上证位于MA200下方,103.0,0.563107,662.0,0.427492,73.0,0.616438,0.188946,0.12105,427.0,0.52459,6.0,0.5,-0.02459,0.032125,0.187616,0.812384
S0004,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,60.0,drawdown20_ge_15pct+below_ma60,距近20日高点回撤≥15%；个股位于MA60下方,155.0,0.741935,1299.0,0.413395,85.0,0.588235,0.17484,0.063908,983.0,0.504578,48.0,0.4375,-0.067078,0.019016,0.307013,0.57725
S0004,STRONG_FRACTAL,FILTER_SELECTED,CONFIRMED,30.0,below_ma60+market20_neg,个股位于MA60下方；上证近20日收益≤0,679.0,0.564065,5656.0,0.403819,652.0,0.490798,0.086979,0.030167,4554.0,0.452569,499.0,0.651303,0.198734,0.077051,0.608477,0.691816
