segment_id,regime,start_date,end_date,sessions,start_close,end_close,segment_return
DOWN-0010,DOWN,2004-12-23,2005-02-24,38,1282.72,1309.95,0.021228
SIDEWAYS-0011,SIDEWAYS,2005-02-25,2005-03-22,18,1312.44,1206.92,-0.0804
DOWN-0012,DOWN,2005-03-23,2005-04-11,14,1201.65,1240.97,0.032722
SIDEWAYS-0013,SIDEWAYS,2005-04-12,2005-04-29,14,1219.51,1159.15,-0.049495
DOWN-0014,DOWN,2005-05-09,2005-08-01,61,1130.83,1088.95,-0.037035
SIDEWAYS-0015,SIDEWAYS,2005-08-02,2005-08-15,10,1104.04,1187.01,0.075151
UP-0016,UP,2005-08-16,2005-10-19,42,1177.28,1134.61,-0.036245
SIDEWAYS-0017,SIDEWAYS,2005-10-20,2005-11-15,19,1135.95,1087.51,-0.042643
DOWN-0018,DOWN,2005-11-16,2005-12-19,24,1095.89,1131.75,0.032722
SIDEWAYS-0019,SIDEWAYS,2005-12-20,2006-01-12,16,1136.34,1226.7,0.079518
UP-0020,UP,2006-01-13,2006-08-03,133,1221.46,1601.06,0.310776
SIDEWAYS-0021,SIDEWAYS,2006-08-04,2006-09-06,24,1570.15,1672.12,0.064943
UP-0022,UP,2006-09-07,2006-09-26,14,1661.19,1712.64,0.030972
SIDEWAYS-0023,SIDEWAYS,2006-09-27,2006-10-23,14,1725.04,1759.39,0.019913
UP-0024,UP,2006-10-24,2007-07-09,172,1805.18,3883.22,1.151154
SIDEWAYS-0025,SIDEWAYS,2007-07-10,2007-07-25,12,3853.02,4323.97,0.122229
UP-0026,UP,2007-07-26,2007-11-13,74,4346.46,5158.12,0.18674
SIDEWAYS-0027,SIDEWAYS,2007-11-14,2007-12-05,16,5412.69,5042.65,-0.068365
DOWN-0028,DOWN,2007-12-06,2008-01-09,23,5035.07,5435.81,0.07959
SIDEWAYS-0029,SIDEWAYS,2008-01-10,2008-01-22,9,5456.54,4559.75,-0.164351
DOWN-0030,DOWN,2008-01-23,2008-12-09,215,4703.05,2037.74,-0.566719
SIDEWAYS-0031,SIDEWAYS,2008-12-10,2008-12-26,13,2079.12,1851.52,-0.109469
DOWN-0032,DOWN,2008-12-29,2009-01-14,11,1850.48,1928.87,0.042362
SIDEWAYS-0033,SIDEWAYS,2009-01-15,2009-01-22,6,1920.21,2004.95,0.044131
UP-0034,UP,2009-01-23,2009-08-20,141,1990.66,2911.58,0.46262
SIDEWAYS-0035,SIDEWAYS,2009-08-21,2009-09-28,27,2960.77,2763.52,-0.066621
DOWN-0036,DOWN,2009-09-29,2009-10-22,12,2754.54,3051.41,0.107775
SIDEWAYS-0037,SIDEWAYS,2009-10-23,2009-11-19,20,3107.85,3320.61,0.068459
UP-0038,UP,2009-11-20,2010-01-21,44,3308.35,3158.86,-0.045186
SIDEWAYS-0039,SIDEWAYS,2010-01-22,2010-02-03,9,3128.59,3003.83,-0.039877
DOWN-0040,DOWN,2010-02-04,2010-03-24,30,2995.31,3056.81,0.020532
SIDEWAYS-0041,SIDEWAYS,2010-03-25,2010-05-11,32,3019.18,2647.57,-0.123083
DOWN-0042,DOWN,2010-05-12,2010-07-29,54,2655.71,2648.12,-0.002858
SIDEWAYS-0043,SIDEWAYS,2010-07-30,2010-09-29,41,2637.5,2610.68,-0.010169
UP-0044,UP,2010-09-30,2010-12-03,42,2655.66,2842.43,0.070329
SIDEWAYS-0045,SIDEWAYS,2010-12-06,2010-12-16,9,2857.18,2898.14,0.014336
UP-0046,UP,2010-12-17,2010-12-27,7,2893.74,2781.4,-0.038822
SIDEWAYS-0047,SIDEWAYS,2010-12-28,2011-01-13,12,2732.99,2827.71,0.034658
DOWN-0048,DOWN,2011-01-14,2011-02-16,19,2791.34,2923.9,0.04749
SIDEWAYS-0049,SIDEWAYS,2011-02-17,2011-03-31,31,2926.96,2928.11,0.000393
UP-0050,UP,2011-04-01,2011-05-03,20,2967.41,2932.19,-0.011869
SIDEWAYS-0051,SIDEWAYS,2011-05-04,2011-05-31,20,2866.02,2743.47,-0.04276
DOWN-0052,DOWN,2011-06-01,2011-07-19,34,2743.57,2796.98,0.019467
SIDEWAYS-0053,SIDEWAYS,2011-07-20,2011-07-26,5,2794.2,2703.03,-0.032628
DOWN-0054,DOWN,2011-07-27,2011-11-07,68,2723.49,2509.8,-0.078462
SIDEWAYS-0055,SIDEWAYS,2011-11-08,2011-11-28,15,2503.84,2383.03,-0.04825
DOWN-0056,DOWN,2011-11-29,2012-02-13,48,2412.39,2351.85,-0.025095
SIDEWAYS-0057,SIDEWAYS,2012-02-14,2012-03-20,26,2344.77,2376.84,0.013677
UP-0058,UP,2012-03-21,2012-04-05,9,2378.2,2302.24,-0.03194
SIDEWAYS-0059,SIDEWAYS,2012-04-06,2012-05-07,20,2306.55,2451.95,0.063038
UP-0060,UP,2012-05-08,2012-05-14,5,2448.88,2380.73,-0.027829
SIDEWAYS-0061,SIDEWAYS,2012-05-15,2012-07-12,42,2374.84,2185.49,-0.079732
DOWN-0062,DOWN,2012-07-13,2012-10-11,60,2185.9,2102.87,-0.037984
SIDEWAYS-0063,SIDEWAYS,2012-10-12,2012-12-25,53,2104.93,2213.61,0.051631
UP-0064,UP,2012-12-26,2013-03-18,51,2219.13,2240.02,0.009414
SIDEWAYS-0065,SIDEWAYS,2013-03-19,2013-05-10,34,2257.43,2246.83,-0.004696
DOWN-0066,DOWN,2013-05-13,2013-05-22,8,2241.92,2302.4,0.026977
SIDEWAYS-0067,SIDEWAYS,2013-05-23,2013-06-24,20,2275.67,1963.24,-0.137291
DOWN-0068,DOWN,2013-06-25,2013-08-29,48,1959.51,2097.23,0.070283
SIDEWAYS-0069,SIDEWAYS,2013-08-30,2013-09-17,13,2098.38,2185.56,0.041546
UP-0070,UP,2013-09-18,2013-11-11,32,2191.85,2109.47,-0.037585
SIDEWAYS-0071,SIDEWAYS,2013-11-12,2013-11-21,8,2126.77,2205.77,0.037146
UP-0072,UP,2013-11-22,2013-12-13,16,2196.38,2196.07,-0.000141
SIDEWAYS-0073,SIDEWAYS,2013-12-16,2014-01-09,18,2160.86,2027.62,-0.061661
DOWN-0074,DOWN,2014-01-10,2014-02-10,17,2013.3,2086.07,0.036145
SIDEWAYS-0075,SIDEWAYS,2014-02-11,2014-02-27,13,2103.67,2047.35,-0.026772
DOWN-0076,DOWN,2014-02-28,2014-03-26,19,2056.3,2063.67,0.003584
SIDEWAYS-0077,SIDEWAYS,2014-03-27,2014-07-29,85,2046.59,2183.19,0.066745
UP-0078,UP,2014-07-30,2015-07-01,225,2181.24,4053.7,0.858438
SIDEWAYS-0079,SIDEWAYS,2015-07-02,2015-07-10,7,3912.77,3877.8,-0.008937
DOWN-0080,DOWN,2015-07-13,2015-11-09,79,3970.39,3646.88,-0.081481
SIDEWAYS-0081,SIDEWAYS,2015-11-10,2015-11-30,15,3640.49,3445.4,-0.053589
UP-0082,UP,2015-12-01,2016-01-07,27,3456.31,3125.0,-0.095857
SIDEWAYS-0083,SIDEWAYS,2016-01-08,2016-01-14,5,3186.41,3007.65,-0.056101
DOWN-0084,DOWN,2016-01-15,2016-04-05,52,2900.97,3053.07,0.052431
SIDEWAYS-0085,SIDEWAYS,2016-04-06,2016-05-03,19,3050.59,2992.64,-0.018996
UP-0086,UP,2016-05-04,2016-05-11,6,2991.27,2837.04,-0.05156
SIDEWAYS-0087,SIDEWAYS,2016-05-12,2016-08-11,64,2835.86,3002.64,0.058811
UP-0088,UP,2016-08-12,2016-09-19,25,3050.67,3026.05,-0.00807
SIDEWAYS-0089,SIDEWAYS,2016-09-20,2016-11-30,47,3023.0,3250.03,0.075101
UP-0090,UP,2016-12-01,2016-12-08,6,3273.31,3215.37,-0.017701
SIDEWAYS-0091,SIDEWAYS,2016-12-09,2017-08-04,160,3232.88,3262.08,0.009032
UP-0092,UP,2017-08-07,2017-10-23,51,3279.46,3380.7,0.030871
SIDEWAYS-0093,SIDEWAYS,2017-10-24,2018-04-10,113,3388.25,3190.32,-0.058417
DOWN-0094,DOWN,2018-04-11,2018-05-18,26,3208.08,3193.3,-0.004607
SIDEWAYS-0095,SIDEWAYS,2018-05-21,2018-06-11,16,3213.84,3052.78,-0.050115
DOWN-0096,DOWN,2018-06-12,2018-09-25,74,3079.8,2781.14,-0.096974
SIDEWAYS-0097,SIDEWAYS,2018-09-26,2018-10-16,10,2806.81,2546.33,-0.092803
