model_code,trigger,selection_status,holdout_status,horizon_trading_days,rule_names,rule_labels,train_sample_count,train_win_rate,validation_base_count,validation_base_win_rate,validation_filtered_count,validation_filtered_win_rate,validation_win_rate_delta,validation_filtered_mean_return,holdout_base_count,holdout_base_win_rate,holdout_filtered_count,holdout_filtered_win_rate,holdout_win_rate_delta,holdout_filtered_mean_return,holdout_filtered_ci_low,holdout_filtered_ci_high
S0000,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,90.0,price_1_6+market20_neg,入场原始价1～6元；上证近20日收益≤0,507.0,0.99211,14841.0,0.716057,646.0,0.837461,0.121404,0.212126,4827.0,0.270147,86.0,0.093023,-0.177124,-0.18945,0.047892,0.172957
S0000,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,90.0,occurrence_ge_2+price_3_10,模型内发生次数≥2；入场原始价3～10元,1355.0,0.98893,36641.0,0.69414,4117.0,0.762934,0.068794,0.178647,10778.0,0.296808,807.0,0.167286,-0.129522,-0.13781,0.143125,0.1946
S0001,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,30.0,reveal_morning+price_le_20,上午揭示；入场原始价≤20元,178.0,0.825843,1769.0,0.577728,555.0,0.614414,0.036686,0.06432,929.0,0.401507,254.0,0.326772,-0.074735,-0.032226,0.272044,0.386661
S0001,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,30.0,entry_same_day+price_2_8,同日下一bar入场；入场原始价2～8元,147.0,0.897959,3880.0,0.591495,614.0,0.64658,0.055085,0.067023,2340.0,0.392308,316.0,0.291139,-0.101169,-0.048463,0.243798,0.343497
S0002,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,90.0,regime_sideways+price_2_8,上证震荡阶段；入场原始价2～8元,288.0,0.982639,14317.0,0.704198,2690.0,0.772119,0.067921,0.174586,4370.0,0.289016,422.0,0.203791,-0.085225,-0.088315,0.168112,0.244815
S0002,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,90.0,regime_sideways+price_1_6,上证震荡阶段；入场原始价1～6元,174.0,0.994253,13347.0,0.715517,1311.0,0.802441,0.086924,0.174609,4399.0,0.307797,212.0,0.212264,-0.095533,-0.111804,0.162593,0.272177
S0003,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,30.0,vol20_le_4pct+above_ma20,近160根日化波动率≤4%；个股位于MA160上方,79.0,0.848101,369.0,0.525745,230.0,0.556522,0.030777,0.031069,177.0,0.344633,130.0,0.338462,-0.006171,-0.017916,0.262799,0.423397
S0003,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,60.0,reveal_first_hour+entry_vs_prior_close_le_3pct,10:00或10:30揭示；入场价相对昨收涨幅≤3%,68.0,0.985294,845.0,0.553846,439.0,0.596811,0.042965,0.063791,329.0,0.279635,188.0,0.265957,-0.013678,-0.028643,0.207945,0.333343
S0004,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,90.0,entry_vs_prior_close_le_3pct+price_3_10,入场价相对昨收涨幅≤3%；入场原始价3～10元,73.0,0.986301,2830.0,0.671378,718.0,0.724234,0.052856,0.134244,1084.0,0.250923,223.0,0.197309,-0.053614,-0.117736,0.150394,0.254477
S0004,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,90.0,entry_vs_prior_close_le_3pct+price_2_8,入场价相对昨收涨幅≤3%；入场原始价2～8元,288.0,0.989583,7969.0,0.663195,1133.0,0.710503,0.047308,0.126447,2474.0,0.318917,272.0,0.172794,-0.146123,-0.143745,0.132503,0.222199
S0005,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,90.0,price_2_8+market20_neg,入场原始价2～8元；上证近20日收益≤0,109.0,0.990826,4243.0,0.689135,349.0,0.767908,0.078773,0.145164,1418.0,0.261636,50.0,0.06,-0.201636,-0.205796,0.020615,0.162171
S0005,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,90.0,entry_vs_prior_close_le_3pct+price_2_8,入场价相对昨收涨幅≤3%；入场原始价2～8元,678.0,0.99115,10992.0,0.677766,1668.0,0.73801,0.060244,0.140645,3424.0,0.308995,407.0,0.181818,-0.127177,-0.161087,0.147379,0.222207
S0006,ENGULFING,FILTER_SELECTED,MIXED_POSITIVE,30.0,amount_ratio_ge_15+market20_neg,当前成交额≥近160根中位数1.5倍；上证近20日收益≤0,89.0,0.94382,1158.0,0.595855,158.0,0.829114,0.233259,0.109555,814.0,0.331695,116.0,0.396552,0.064857,0.012421,0.312223,0.487512
S0006,STRONG_FRACTAL,FILTER_SELECTED,INSUFFICIENT_HOLDOUT,90.0,price_le_20+market_below_ma200,入场原始价≤20元；上证位于MA200下方,245.0,0.987755,1940.0,0.736082,91.0,0.978022,0.24194,0.571192,557.0,0.263914,0.0,,0.0,,,
S0007,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,90.0,market20_neg,上证近20日收益≤0,102.0,0.970588,1375.0,0.677091,361.0,0.742382,0.065291,0.176663,472.0,0.258475,83.0,0.204819,-0.053656,-0.120263,0.131999,0.303755
