segment_id,regime,start_date,end_date,sessions,start_close,end_close,segment_return
UP-0014,UP,2024-04-23,2024-06-04,28,3021.98,3091.2,0.022906
SIDEWAYS-0015,SIDEWAYS,2024-06-05,2024-07-30,39,3065.4,2879.3,-0.06071
DOWN-0016,DOWN,2024-07-31,2024-10-10,45,2938.75,3301.93,0.123583
UP-0017,UP,2024-10-11,2025-01-03,60,3217.74,3211.43,-0.001961
SIDEWAYS-0018,SIDEWAYS,2025-01-06,2025-07-09,122,3206.92,3493.05,0.089223
UP-0019,UP,2025-07-10,2025-11-25,93,3509.68,3870.02,0.10267
SIDEWAYS-0020,SIDEWAYS,2025-11-26,2026-01-12,32,3864.18,4165.29,0.077923
UP-0021,UP,2026-01-13,2026-01-21,7,4138.76,4116.94,-0.005272
SIDEWAYS-0022,SIDEWAYS,2026-01-22,2026-03-02,22,4122.58,4182.59,0.014556
UP-0023,UP,2026-03-03,2026-03-18,12,4122.68,4062.98,-0.014481
SIDEWAYS-0024,SIDEWAYS,2026-03-19,2026-07-24,87,4006.55,3814.198,-0.048009
