scope,model_code,trigger,market_regime,horizon_trading_days,purged_boundary_count,sample_count,win_count,win_rate,win_rate_ci_low,win_rate_ci_high,mean_net_return,median_net_return
FULL,S0000,ENGULFING,UP,30,0,19271,8818,0.457579,0.450554,0.46462,0.018066,-0.012223
FULL,S0000,ENGULFING,UP,60,0,19270,9165,0.47561,0.468564,0.482665,0.042423,-0.008901
FULL,S0000,ENGULFING,UP,90,0,18617,9044,0.485793,0.478617,0.492974,0.053529,-0.007551
FULL,S0000,ENGULFING,DOWN,30,0,4108,3654,0.889484,0.87953,0.89871,0.25907,0.213012
FULL,S0000,ENGULFING,DOWN,60,0,4108,3943,0.959834,0.953388,0.965422,0.363341,0.296767
FULL,S0000,ENGULFING,DOWN,90,0,4108,3819,0.929649,0.921421,0.937075,0.317245,0.232294
FULL,S0000,ENGULFING,SIDEWAYS,30,0,26219,13686,0.521988,0.515939,0.528031,0.02437,0.006953
FULL,S0000,ENGULFING,SIDEWAYS,60,0,22557,13385,0.593386,0.58696,0.599779,0.084726,0.042266
FULL,S0000,ENGULFING,SIDEWAYS,90,0,18901,12942,0.684726,0.678065,0.691311,0.165625,0.100749
FULL,S0000,STRONG_FRACTAL,UP,30,0,43026,19574,0.454934,0.450233,0.459643,0.017978,-0.013487
FULL,S0000,STRONG_FRACTAL,UP,60,0,43022,20702,0.481196,0.476476,0.485918,0.048704,-0.006804
FULL,S0000,STRONG_FRACTAL,UP,90,0,41651,20973,0.503541,0.49874,0.508342,0.068342,0.002081
FULL,S0000,STRONG_FRACTAL,DOWN,30,0,12226,9866,0.806969,0.799877,0.813868,0.207001,0.172655
FULL,S0000,STRONG_FRACTAL,DOWN,60,0,12226,11378,0.93064,0.926,0.935009,0.350109,0.294369
FULL,S0000,STRONG_FRACTAL,DOWN,90,0,12226,11247,0.919925,0.914981,0.924605,0.317299,0.238925
FULL,S0000,STRONG_FRACTAL,SIDEWAYS,30,0,64835,31853,0.491293,0.487446,0.495142,0.019655,-0.003113
FULL,S0000,STRONG_FRACTAL,SIDEWAYS,60,0,55399,31322,0.565389,0.561257,0.569512,0.083573,0.029992
FULL,S0000,STRONG_FRACTAL,SIDEWAYS,90,0,47755,31763,0.665124,0.660878,0.669343,0.164617,0.08963
FULL,S0001,ENGULFING,UP,30,0,1277,543,0.425215,0.398364,0.452515,0.005629,-0.021772
FULL,S0001,ENGULFING,UP,60,0,1277,581,0.454973,0.427836,0.482379,0.038635,-0.016205
FULL,S0001,ENGULFING,UP,90,0,1217,552,0.453574,0.425794,0.481647,0.045989,-0.019942
FULL,S0001,ENGULFING,DOWN,30,0,175,165,0.942857,0.898021,0.968668,0.298897,0.253985
FULL,S0001,ENGULFING,DOWN,60,0,175,165,0.942857,0.898021,0.968668,0.345261,0.291045
FULL,S0001,ENGULFING,DOWN,90,0,175,162,0.925714,0.877064,0.956076,0.337455,0.252599
FULL,S0001,ENGULFING,SIDEWAYS,30,0,1949,1155,0.592612,0.570636,0.614223,0.053571,0.03173
FULL,S0001,ENGULFING,SIDEWAYS,60,0,1783,1004,0.563096,0.539962,0.585959,0.073592,0.024585
FULL,S0001,ENGULFING,SIDEWAYS,90,0,1408,922,0.65483,0.629606,0.679211,0.146402,0.080744
FULL,S0001,STRONG_FRACTAL,UP,30,0,2756,1210,0.439042,0.420612,0.457642,0.014596,-0.017581
FULL,S0001,STRONG_FRACTAL,UP,60,0,2756,1352,0.490566,0.471928,0.50923,0.055204,-0.002544
FULL,S0001,STRONG_FRACTAL,UP,90,0,2594,1263,0.486893,0.467692,0.506133,0.067574,-0.005831
FULL,S0001,STRONG_FRACTAL,DOWN,30,0,504,439,0.871032,0.83894,0.89751,0.259906,0.200064
FULL,S0001,STRONG_FRACTAL,DOWN,60,0,504,401,0.795635,0.758257,0.828541,0.286702,0.258555
FULL,S0001,STRONG_FRACTAL,DOWN,90,0,504,421,0.835317,0.800424,0.865138,0.291718,0.215523
